Quarter End Date,Open,High,Low,Close,Volume,Dividends,ETF
2020-09-30,12391.7197265625,13460.4599609375,12095.1103515625,12760.73046875,4591021800,0.0,^GDAXI
2020-12-31,12812.080078125,13903.1103515625,11450.080078125,13718.7802734375,4744195200,0.0,^GDAXI
2021-03-31,13890.2197265625,15029.7001953125,13310.9501953125,15008.33984375,4790711000,0.0,^GDAXI
2021-06-30,15053.76953125,15802.669921875,14816.349609375,15531.0400390625,3986402900,0.0,^GDAXI
2021-09-30,15624.2802734375,16030.330078125,15019.490234375,15260.6904296875,3576720000,0.0,^GDAXI
2021-12-31,15041.599609375,16290.1904296875,14818.7099609375,15884.8603515625,4339490800,0.0,^GDAXI
2022-03-31,15947.4404296875,16285.349609375,12438.849609375,14414.75,6431181000,0.0,^GDAXI
2022-06-30,14447.7802734375,14709.3798828125,12618.6796875,12783.76953125,5175056700,0.0,^GDAXI
2022-09-30,12627.66015625,13947.849609375,11862.83984375,12114.3603515625,4436614600,0.0,^GDAXI
2022-12-31,11951.83984375,14675.83984375,11893.9404296875,13923.58984375,3992181200,0.0,^GDAXI
2023-03-31,13992.7099609375,15706.3701171875,13976.4404296875,15628.83984375,4914955600,0.0,^GDAXI
2023-06-30,15623.4501953125,16427.419921875,15482.8798828125,16147.900390625,4402939900,0.0,^GDAXI
2023-09-30,16187.91015625,16528.970703125,15138.66015625,15386.580078125,4167611000,0.0,^GDAXI
2023-12-31,15439.9599609375,17003.279296875,14630.2099609375,16751.640625,4450326100,0.0,^GDAXI
2024-03-31,16828.75,18513.830078125,16345.01953125,18492.490234375,4498032000,0.0,^GDAXI
2024-06-30,18492.359375,18892.919921875,17626.900390625,18235.44921875,4377897900,0.0,^GDAXI
2024-09-30,18236.349609375,19491.9296875,17024.8203125,19324.9296875,3597128400,0.0,^GDAXI
2024-12-31,19409.390625,20522.8203125,18812.529296875,19909.140625,3746736800,0.0,^GDAXI
2025-03-31,19923.0703125,22935.060546875,19833.8203125,22551.4296875,2862876000,0.0,^GDAXI
2020-03-31,5310.81982421875,5509.27978515625,3632.06005859375,4396.1201171875,5023953900,0.0,^FCHI
2020-06-30,4259.93994140625,5213.669921875,4142.27978515625,4935.990234375,7197208000,0.0,^FCHI
2020-09-30,4939.7998046875,5172.97998046875,4666.259765625,4803.43994140625,5572550100,0.0,^FCHI
2020-12-31,4850.2001953125,5625.60009765625,4512.56982421875,5551.41015625,2354381200,0.0,^FCHI
2021-03-31,5614.0400390625,6097.740234375,5379.22021484375,6067.22998046875,5334521800,0.0,^FCHI
2021-06-30,6079.669921875,6687.2900390625,6063.85986328125,6507.830078125,4036727200,0.0,^FCHI
2021-09-30,6549.81982421875,6913.669921875,6253.25,6520.009765625,4438222700,0.0,^FCHI
2021-12-31,6421.10009765625,7201.64990234375,6412.7001953125,7153.02978515625,5044993100,0.0,^FCHI
2022-03-31,7197.39990234375,7384.85986328125,5756.3798828125,6659.8701171875,6211929300,0.0,^FCHI
2022-06-30,6672.97998046875,6757.75,5830.8701171875,5922.85986328125,5264789200,0.0,^FCHI
2022-09-30,5875.60009765625,6608.830078125,5628.419921875,5762.33984375,4858798000,0.0,^FCHI
2022-12-31,5697.47021484375,6823.10009765625,5654.43994140625,6473.759765625,4643581500,0.0,^FCHI
2023-03-31,6521.06982421875,7401.14990234375,6518.2099609375,7322.39013671875,4825739500,0.0,^FCHI
2023-06-30,7341.68994140625,7581.259765625,7083.60009765625,7400.06005859375,3815990300,0.0,^FCHI
2023-09-30,7415.169921875,7526.0498046875,7033.830078125,7135.06005859375,3243821100,0.0,^FCHI
2023-12-31,7164.0498046875,7653.990234375,6773.81982421875,7543.18017578125,3364891300,0.0,^FCHI
2024-03-31,7577.330078125,8253.58984375,7281.10009765625,8205.8095703125,3596523200,0.0,^FCHI
2024-06-30,8195.650390625,8259.1904296875,7456.47021484375,7479.39990234375,3998258300,0.0,^FCHI
2024-09-30,7673.47998046875,7804.64013671875,7029.91015625,7635.75,3563886300,0.0,^FCHI
2024-12-31,7623.330078125,7654.580078125,7091.14990234375,7380.740234375,4294271400,0.0,^FCHI
2025-03-31,7374.58984375,8225.1298828125,7270.56982421875,8111.6298828125,3208874100,0.0,^FCHI
2020-03-31,3431.52001953125,3448.239990234375,2302.840087890625,2786.89990234375,2196152400,0.0,^STOXX50E
2020-06-30,2760.5400390625,3394.89990234375,2626.10009765625,3234.070068359375,3289655000,0.0,^STOXX50E
2020-09-30,3239.860107421875,3451.159912109375,3097.669921875,3193.610107421875,2569982500,0.0,^STOXX50E
2020-12-31,3207.169921875,3603.169921875,2920.8701171875,3571.590087890625,2470944300,0.0,^STOXX50E
2021-03-31,3565.679931640625,3929.489990234375,3473.760009765625,3919.2099609375,2260207500,0.0,^STOXX50E
2021-06-30,3922.360107421875,4165.58984375,3892.719970703125,4064.300048828125,1631111100,0.0,^STOXX50E
2021-09-30,4068.199951171875,4252.77978515625,3904.780029296875,4048.080078125,1688772900,0.0,^STOXX50E
2021-12-31,4037.159912109375,4415.22998046875,3965.8701171875,4306.06982421875,1988849400,0.0,^STOXX50E
